Period,Day,q_inverter,net_p_demand,q_consumption,q_capacity,p_x_q,p_x_p,p_x_q_capacity,voltage
80,6,23.99736520923178,0.244,0.10394356473723396,24.0,0.22170435063177016,1.3760202426879116,0.09444565787876974,180315.22576637083
80,7,23.994673333764972,0.691,0.29436476735011746,24.0,0.4158274908338444,1.0646731531699039,0.17714176931561174,180864.87370411938
80,8,23.998780792625027,0.22,0.09371960754996504,24.0,0.22212163301479512,0.821957848449135,0.09462341942956345,179180.25057294668
80,9,22.703811961880923,0.511,0.21768508844560064,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,182944.74163599737
80,10,23.999594850040857,0.208,0.08860762895633058,24.0,0.5263501759494231,1.6642908239738845,0.22422423601743174,179023.13981957862
80,11,23.990396780477326,0.358,0.1525073613767613,24.0,0.40882704470960857,1.857106138733248,0.17415959175452966,182256.00739826506
80,12,23.999305858030404,0.332,0.14143140775722,24.0,0.31851651084013655,0.8188013920274957,0.1356874654278263,179123.786932135
80,13,23.987410682229886,0.069,0.02939387691339813,24.0,0.23479439433166213,1.042124907553347,0.1000219931440687,182316.64912846728
80,14,23.998957749159395,0.502,0.21385110450037478,24.0,0.26795981834715915,0.9849446398990743,0.11415040461207127,181383.38350007884
80,15,19.813536141926633,0.277,0.11800150586972873,24.0,0.3154815982606298,1.1672996673986844,0.1343945980828271,182780.81704888024
80,16,23.998913475172174,0.168,0.0715677003108824,24.0,0.338466360513114,0.9794421975906539,0.14418606580070015,179269.1297437466
80,17,20.814285201666294,0.274,0.11672351122132012,24.0,0.25249978900896347,0.9728415443354962,0.10756445969258653,182858.89645097268
80,18,18.152082922883473,0.328,0.13972741489267518,24.0,0.38695472127587843,0.8951043831498663,0.16484202098900652,182843.60153928425
80,19,23.99270307780325,0.136,0.05793575739452385,24.0,0.5708552198626408,1.7064323636005003,0.24318330533352592,182696.99143653607
80,20,21.49419164908867,0.09,0.038339839452258426,24.0,0.21756337488304603,0.7453675688224494,0.09268160959674998,182854.55761025267
